"Notes"	"Month"	"Month Code"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Record Count for Daily Max Air Temp (F)	Min Temp for Daily Max Air Temp (F)	Max Temp for Daily Max Air Temp (F)	Avg Daily Min Air Temperature (F)	Record Count for Daily Min Air Temp (F)	Min Temp for Daily Min Air Temp (F)	Max Temp for Daily Min Air Temp (F)	Avg Daily Max Heat Index (F)	Record Count for Daily Max Heat Index (F)	Min for Daily Max Heat Index (F)	Max for Daily Max Heat Index (F)	Daily Max Heat Index (F) % Coverage
	"Jan"	"1"	"Adams County, IL"	"17001"	31.89	19437	-10.00	68.90	18.01	19437	-26.20	50.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Alexander County, IL"	"17003"	41.07	6138	2.60	73.20	26.48	6138	-14.00	60.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Bond County, IL"	"17005"	35.71	6138	-2.70	69.50	22.18	6138	-17.90	57.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Boone County, IL"	"17007"	25.10	6138	-13.90	55.20	11.70	6138	-29.10	40.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Brown County, IL"	"17009"	32.22	5115	-10.10	69.00	18.49	5115	-25.70	51.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Bureau County, IL"	"17011"	27.61	18414	-11.40	63.40	14.73	18414	-35.00	43.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Calhoun County, IL"	"17013"	35.10	4092	-6.10	70.50	20.97	4092	-21.90	55.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Carroll County, IL"	"17015"	25.07	10230	-11.90	56.80	11.45	10230	-38.30	37.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Cass County, IL"	"17017"	32.35	7161	-10.30	68.90	18.94	7161	-25.10	51.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Champaign County, IL"	"17019"	31.13	17391	-13.30	67.70	17.97	17391	-29.20	52.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Christian County, IL"	"17021"	33.27	11253	-9.10	68.60	20.05	11253	-25.60	53.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Clark County, IL"	"17023"	34.12	10230	-7.70	69.00	20.84	10230	-21.70	57.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Clay County, IL"	"17025"	36.41	8184	-2.50	69.90	23.14	8184	-18.40	58.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Clinton County, IL"	"17027"	36.70	10230	-1.20	70.30	22.82	10230	-17.60	58.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Coles County, IL"	"17029"	33.09	8184	-9.00	68.30	19.90	8184	-24.20	54.10	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Cook County, IL"	"17031"	27.85	15345	-11.80	64.00	15.73	15345	-28.60	45.30	Missing	0	Missing	Missing	0.00%
